id_bureau,% Abs/Ins,Nom,% Voix/Ins,% Voix/Exp,Nom.1,% Voix/Ins.1,% Voix/Exp.1
60176_0010,29.78,MACRON,34.11,53.11,LE PEN,30.11,46.89
60176_0011,30.64,MACRON,27.5,43.13,LE PEN,36.25,56.87
60176_0012,24.05,MACRON,37.98,54.53,LE PEN,31.67,45.47
60177_0001,23.58,MACRON,23.27,32.46,LE PEN,48.43,67.54
60178_0001,25.87,MACRON,21.53,31.02,LE PEN,47.9,68.98
60178_0002,21.89,MACRON,33.29,46.05,LE PEN,39.0,53.95
60178_0003,30.5,MACRON,19.72,29.81,LE PEN,46.44,70.19
60179_0001,12.0,MACRON,21.0,25.61,LE PEN,61.0,74.39
60180_0001,14.25,MACRON,30.11,37.84,LE PEN,49.46,62.16
60181_0001,25.99,MACRON,26.85,38.65,LE PEN,42.61,61.35
60182_0001,8.87,MACRON,36.29,44.12,LE PEN,45.97,55.88
60183_0001,21.23,MACRON,37.26,53.02,LE PEN,33.02,46.98
60184_0001,15.12,MACRON,28.49,39.2,LE PEN,44.19,60.8
60185_0001,23.01,MACRON,29.88,42.45,LE PEN,40.51,57.55
60186_0001,15.92,MACRON,28.36,36.08,LE PEN,50.25,63.92
60187_0001,21.07,MACRON,26.03,34.81,LE PEN,48.76,65.19
60188_0001,23.8,MACRON,34.49,48.96,LE PEN,35.96,51.04
60188_0002,31.86,MACRON,26.23,41.23,LE PEN,37.38,58.77
60189_0001,23.49,MACRON,27.67,38.79,LE PEN,43.66,61.21
60190_0001,19.2,MACRON,34.4,46.49,LE PEN,39.6,53.51
60191_0001,20.18,MACRON,26.53,35.14,LE PEN,48.98,64.86
60192_0001,19.7,MACRON,21.67,29.73,LE PEN,51.23,70.27
60193_0001,20.11,MACRON,25.7,34.07,LE PEN,49.72,65.93
60194_0001,17.73,MACRON,27.59,35.22,LE PEN,50.74,64.78
60195_0001,17.37,MACRON,35.73,47.21,LE PEN,39.95,52.79
60196_0001,18.18,MACRON,28.79,38.26,LE PEN,46.46,61.74
60196_0002,16.94,MACRON,25.81,32.99,LE PEN,52.42,67.01
60196_0003,19.63,MACRON,28.97,39.74,LE PEN,43.93,60.26
60197_0001,21.7,MACRON,27.57,37.9,LE PEN,45.16,62.1
60198_0001,22.11,MACRON,23.86,32.38,LE PEN,49.82,67.62
60199_0001,19.23,MACRON,33.17,43.95,LE PEN,42.31,56.05
60200_0001,16.51,MACRON,26.61,33.72,LE PEN,52.29,66.28
60201_0001,14.84,MACRON,18.68,23.78,LE PEN,59.89,76.22
60203_0001,20.33,MACRON,31.33,43.12,LE PEN,41.33,56.88
60204_0001,19.0,MACRON,30.32,38.29,LE PEN,48.87,61.71
60205_0001,25.64,MACRON,28.21,37.93,LE PEN,46.15,62.07
60206_0001,17.23,MACRON,36.02,47.4,LE PEN,39.97,52.6
60207_0001,15.46,MACRON,26.57,33.33,LE PEN,53.14,66.67
60208_0001,24.78,MACRON,45.13,67.11,LE PEN,22.12,32.89
60209_0001,19.18,MACRON,25.58,33.56,LE PEN,50.64,66.44
60210_0001,15.12,MACRON,31.22,40.0,LE PEN,46.83,60.0
60211_0001,28.77,MACRON,25.71,39.64,LE PEN,39.15,60.36
60212_0001,21.68,MACRON,25.68,35.83,LE PEN,45.99,64.17
60213_0001,26.54,MACRON,36.06,52.81,LE PEN,32.22,47.19
60214_0001,19.05,MACRON,31.97,41.96,LE PEN,44.22,58.04
60215_0001,17.37,MACRON,37.86,51.05,LE PEN,36.3,48.95
60216_0001,16.06,MACRON,27.74,36.19,LE PEN,48.91,63.81
60217_0001,15.64,MACRON,32.96,41.55,LE PEN,46.37,58.45
60218_0001,19.88,MACRON,32.15,43.34,LE PEN,42.04,56.66
60219_0001,17.74,MACRON,20.16,25.77,LE PEN,58.06,74.23
60220_0001,19.9,MACRON,26.87,35.37,LE PEN,49.1,64.63
60221_0001,21.76,MACRON,26.78,37.43,LE PEN,44.77,62.57
60222_0001,14.19,MACRON,33.18,43.03,LE PEN,43.94,56.97
60223_0001,28.01,MACRON,26.12,39.53,LE PEN,39.96,60.47
60223_0002,24.43,MACRON,31.2,44.47,LE PEN,38.96,55.53
60224_0001,29.46,MACRON,17.86,28.17,LE PEN,45.54,71.83
60225_0001,18.76,MACRON,29.29,39.57,LE PEN,44.73,60.43
60226_0001,15.72,MACRON,33.44,42.02,LE PEN,46.15,57.98
60227_0001,24.82,MACRON,21.9,30.93,LE PEN,48.91,69.07
60228_0001,18.02,MACRON,32.73,43.78,LE PEN,42.04,56.22
60229_0001,20.0,MACRON,24.12,31.54,LE PEN,52.35,68.46
60230_0001,18.68,MACRON,31.21,40.99,LE PEN,44.92,59.01
60231_0001,17.43,MACRON,33.14,44.79,LE PEN,40.86,55.21
60232_0001,23.71,MACRON,27.25,38.61,LE PEN,43.32,61.39
60233_0001,28.71,MACRON,19.04,28.16,LE PEN,48.59,71.84
60234_0001,24.88,MACRON,29.02,41.6,LE PEN,40.74,58.4
60235_0001,25.42,MACRON,30.61,44.59,LE PEN,38.03,55.41
60236_0001,15.43,MACRON,13.58,17.6,LE PEN,63.58,82.4
60237_0001,16.44,MACRON,24.66,31.03,LE PEN,54.79,68.97
60238_0001,22.39,MACRON,45.2,62.26,LE PEN,27.4,37.74
60239_0001,14.7,MACRON,34.38,43.81,LE PEN,44.09,56.19
60240_0001,14.03,MACRON,33.94,42.13,LE PEN,46.61,57.87
60241_0001,21.51,MACRON,51.61,70.94,LE PEN,21.15,29.06
60242_0001,24.93,MACRON,23.59,33.08,LE PEN,47.72,66.92
60243_0001,10.66,MACRON,44.26,52.94,LE PEN,39.34,47.06
60244_0001,11.38,MACRON,26.83,33.67,LE PEN,52.85,66.33
60245_0001,27.82,MACRON,25.1,37.15,LE PEN,42.47,62.85
